M201: [2, 1, 2, 2, 5, 5, 1, 2, 3, 3]
M202: [3, 1, 2, 2, 5, 5, 1, 4, 4, 5]
M203: [3, 1, 3, 3, 4, 4, 1, 3, 3, 3]
M204: [2, 2, 2, 3, 4, 4, 1, 3, 3, 2]
M205: [3, 2, 3, 3, 5, 4, 1, 3, 3, 5]
M206: [2, 1, 2, 2, 5, 5, 3, 4, 5, 5]
M207: [3, 1, 3, 3, 3, 3, 1, 3, 1, 3]
M208: [3, 1, 3, 3, 3, 4, 2, 2, 1, 4]
M209: [3, 1, 3, 4, 4, 3, 1, 2, 1, 4]
M210: [2, 2, 2, 4, 4, 3, 1, 2, 1, 3]
M211: [3, 2, 2, 3, 4, 4, 1, 3, 1, 5]
M212: [3, 2, 3, 4, 3, 3, 1, 2, 2, 5]
M213: [3, 1, 3, 4, 4, 3, 1, 2, 2, 3]
M214: [2, 2, 2, 4, 4, 3, 1, 2, 2, 2]
M215: [3, 2, 3, 4, 5, 3, 1, 2, 3, 6]
M216: [2, 1, 3, 4, 4, 4, 2, 3, 5, 2]
M217: [3, 1, 3, 3, 4, 4, 2, 3, 5, 2]
M218: [3, 1, 3, 3, 4, 4, 1, 3, 2, 4]
M219: [3, 1, 4, 4, 3, 3, 1, 2, 3, 4]
M220: [2, 2, 3, 4, 3, 3, 1, 2, 3, 3]
M221: [3, 2, 4, 4, 3, 3, 1, 2, 2, 4]
M222: [4, 2, 4, 4, 3, 3, 1, 2, 4, 5]
M223: [3, 3, 3, 4, 3, 3, 1, 2, 3, 5]
M224: [3, 3, 3, 3, 4, 3, 1, 2, 3, 3]
M225: [4, 3, 4, 2, 3, 3, 1, 2, 4, 4]
M226: [4, 3, 4, 3, 3, 3, 1, 2, 4, 5]
M227: [3, 2, 3, 3, 3, 3, 1, 2, 5, 1]
M228: [4, 3, 4, 4, 3, 3, 1, 2, 5, 5]
M229: [2, 1, 2, 3, 5, 4, 3, 4, 4, 2]
M230: [2, 1, 3, 3, 4, 4, 3, 4, 4, 2]
M231: [2, 1, 2, 4, 5, 4, 3, 4, 3, 6]
M232: [2, 1, 3, 4, 4, 4, 3, 4, 5, 2]
M233: [2, 1, 4, 4, 3, 3, 3, 3, 3, 4]
M234: [2, 2, 2, 5, 4, 2, 1, 1, 3, 4]
M235: [3, 2, 3, 5, 3, 2, 1, 2, 2, 5]
M236: [2, 1, 2, 4, 3, 2, 2, 3, 4, 1]
M237: [2, 1, 3, 5, 3, 2, 2, 3, 3, 2]
M238: [2, 1, 3, 4, 2, 2, 2, 2, 3, 1]
M239: [2, 1, 4, 5, 2, 2, 2, 2, 3, 3]
M240: [2, 1, 2, 4, 4, 2, 1, 3, 1, 2]
M241: [2, 1, 2, 4, 4, 3, 1, 4, 1, 4]
M242: [3, 1, 3, 4, 3, 2, 1, 3, 1, 3]
